Vaccine type,Town,Vaccine coverage
דלקת כבד B-HBV,עין הוד,40%
דלקת כבד B-HBV,בית הלל,77%
דלקת כבד B-HBV,תמרת,93%
דלקת כבד B-HBV,שדה אליהו,87%
דלקת כבד B-HBV,צנדלה,100%
דלקת כבד B-HBV,לא ידוע,57%
דלקת כבד B-HBV,כפר אוריה,91%
דלקת כבד B-HBV,יגור,100%
דלקת כבד B-HBV,גני טל,88%
דלקת כבד B-HBV,שער אפרים,83%
דלקת כבד B-HBV,שעלבים,93%
דלקת כבד B-HBV,צרופה,76%
דלקת כבד B-HBV,עין איילה,68%
דלקת כבד B-HBV,מצפה נטופה,89%
דלקת כבד B-HBV,מבועים,96%
דלקת כבד B-HBV,טירת יהודה,90%
דלקת כבד B-HBV,זיקים,90%
דלקת כבד B-HBV,"כפר הרא""ה",94%
דלקת כבד B-HBV,חצב,96%
דלקת כבד B-HBV,גאולים,90%
דלקת כבד B-HBV,אפיקים,100%
דלקת כבד B-HBV,אודים,94%
דלקת כבד B-HBV,שפיים,95%
דלקת כבד B-HBV,ראש צורים,91%
דלקת כבד B-HBV,פוריה - נווה עובד,97%
דלקת כבד B-HBV,מחולה,83%
דלקת כבד B-HBV,כרמי צור,81%
דלקת כבד B-HBV,ישרש,94%
דלקת כבד B-HBV,חופית,84%
דלקת כבד B-HBV,שיח' סעיד,75%
דלקת כבד B-HBV,רמת רזיאל,80%
דלקת כבד B-HBV,סמוע,100%
דלקת כבד B-HBV,"ניל""י",95%
דלקת כבד B-HBV,כפר סאלד,50%
דלקת כבד B-HBV,הזורעים,89%
דלקת כבד B-HBV,גבעת חיים (איחוד),85%
דלקת כבד B-HBV,בני ראם,96%
דלקת כבד B-HBV,שדה עוזיהו,95%
דלקת כבד B-HBV,רבדים,67%
דלקת כבד B-HBV,כפר מצר,99%
דלקת כבד B-HBV,כמון,57%
דלקת כבד B-HBV,כדיתה,50%
דלקת כבד B-HBV,חולתה,83%
דלקת כבד B-HBV,שדמות מחולה,90%
דלקת כבד B-HBV,ציפורי,94%
דלקת כבד B-HBV,משכיות,60%
דלקת כבד B-HBV,מיצר,64%
דלקת כבד B-HBV,מגדלים,81%
דלקת כבד B-HBV,ישעי,76%
דלקת כבד B-HBV,טנא,91%
דלקת כבד B-HBV,חיבת ציון,89%
דלקת כבד B-HBV,חגי,98%
דלקת כבד B-HBV,ברכיה,95%
דלקת כבד B-HBV,בוסתן הגליל,95%
דלקת כבד B-HBV,נופית,92%
דלקת כבד B-HBV,כפר מנחם,80%
דלקת כבד B-HBV,"ייט""ב",59%
דלקת כבד B-HBV,גבע כרמל,96%
דלקת כבד B-HBV,רמות מנשה,92%
דלקת כבד B-HBV,חד-נס,68%
דלקת כבד B-HBV,דלתון,96%
דלקת כבד B-HBV,אלון הגליל,68%
דלקת כבד B-HBV,שילת,85%
דלקת כבד B-HBV,עין יהב,79%
דלקת כבד B-HBV,עופר,54%
דלקת כבד B-HBV,עדי,97%
דלקת כבד B-HBV,נהלל,83%
דלקת כבד B-HBV,נאות גולן,86%
דלקת כבד B-HBV,כפר הנשיא,74%
דלקת כבד B-HBV,גילת,93%
דלקת כבד B-HBV,בית אורן,55%
דלקת כבד B-HBV,איילת השחר,90%
דלקת כבד B-HBV,שקד,94%
דלקת כבד B-HBV,פסוטה,99%
דלקת כבד B-HBV,פוריה עילית,89%
דלקת כבד B-HBV,מסעדה,99%
דלקת כבד B-HBV,מנשית זבדה,97%
דלקת כבד B-HBV,"יד רמב""ם",95%
דלקת כבד B-HBV,דריג'את,97%
דלקת כבד B-HBV,בית מאיר,65%
דלקת כבד B-HBV,אשתאול,95%
דלקת כבד B-HBV,אניעם,81%
דלקת כבד B-HBV,שדי חמד,92%
דלקת כבד B-HBV,עין ורד,80%
דלקת כבד B-HBV,עין דור,84%
דלקת כבד B-HBV,ניר משה,100%
דלקת כבד B-HBV,כפר בלום,82%
דלקת כבד B-HBV,ינון,100%
דלקת כבד B-HBV,חגלה,85%
דלקת כבד B-HBV,הבונים,40%
דלקת כבד B-HBV,גן יאשיה,85%
דלקת כבד B-HBV,בת שלמה,56%
דלקת כבד B-HBV,בית זרע,65%
דלקת כבד B-HBV,אשחר,100%
דלקת כבד B-HBV,תראבין א-צאנע,85%
דלקת כבד B-HBV,שומריה,91%
דלקת כבד B-HBV,עזריקם,100%
דלקת כבד B-HBV,סעד,97%
דלקת כבד B-HBV,נס הרים,100%
דלקת כבד B-HBV,נירית,97%
דלקת כבד B-HBV,נגוהות,98%
דלקת כבד B-HBV,מתת,29%
דלקת כבד B-HBV,מגדל עוז,83%
דלקת כבד B-HBV,יתד,75%
דלקת כבד B-HBV,יקנעם (מושבה),88%
דלקת כבד B-HBV,יכיני,81%
דלקת כבד B-HBV,חנתון,88%
דלקת כבד B-HBV,געש,94%
דלקת כבד B-HBV,בית חשמונאי,97%
דלקת כבד B-HBV,שלומית,89%
דלקת כבד B-HBV,רשפים,88%
דלקת כבד B-HBV,קטנה,33%
דלקת כבד B-HBV,עין הבשור,90%
דלקת כבד B-HBV,מפלסים,93%
דלקת כבד B-HBV,מגן שאול,100%
דלקת כבד B-HBV,להבות הבשן,88%
דלקת כבד B-HBV,כפר מונש,95%
דלקת כבד B-HBV,כפר יחזקאל,93%
דלקת כבד B-HBV,כפר זיתים,82%
דלקת כבד B-HBV,גן השומרון,89%
דלקת כבד B-HBV,ג'יב,0%
דלקת כבד B-HBV,בני ציון,92%
דלקת כבד B-HBV,בית הלוי,60%
דלקת כבד B-HBV,באר אורה,87%
דלקת כבד B-HBV,אלי-עד,75%
דלקת כבד B-HBV,שמיר,100%
דלקת כבד B-HBV,רוחמה,86%
דלקת כבד B-HBV,צפריה,95%
דלקת כבד B-HBV,צביה,40%
דלקת כבד B-HBV,עמינדב,91%
דלקת כבד B-HBV,עברון,93%
דלקת כבד B-HBV,מעש,96%
דלקת כבד B-HBV,מבואות יריחו,64%
דלקת כבד B-HBV,לפיד,94%
דלקת כבד B-HBV,לוזית,89%
דלקת כבד B-HBV,כרם בן זמרה,75%
דלקת כבד B-HBV,כפר עציון,91%
דלקת כבד B-HBV,זמרת,84%
דלקת כבד B-HBV,גיתה,67%
דלקת כבד B-HBV,בצרה,88%
דלקת כבד B-HBV,בן עמי,90%
דלקת כבד B-HBV,רמת מגשימים,95%
דלקת כבד B-HBV,נצר חזני,75%
דלקת כבד B-HBV,ניר עקיבא,65%
דלקת כבד B-HBV,משמר הנגב,96%
דלקת כבד B-HBV,מרחביה (קיבוץ),88%
דלקת כבד B-HBV,מעלה גלבוע,78%
דלקת כבד B-HBV,מולדת,100%
דלקת כבד B-HBV,מבוא ביתר,81%
דלקת כבד B-HBV,לוטם,92%
דלקת כבד B-HBV,כפר רופין,100%
דלקת כבד B-HBV,כפר סירקין,90%
דלקת כבד B-HBV,כפר הס,100%
דלקת כבד B-HBV,יפתח,92%
דלקת כבד B-HBV,חלחול,63%
דלקת כבד B-HBV,גמזו,95%
דלקת כבד B-HBV,בצת,85%
דלקת כבד B-HBV,אלישמע,92%
דלקת כבד B-HBV,אור הנר,97%
דלקת כבד B-HBV,תלמי אלעזר,86%
דלקת כבד B-HBV,שתולה,86%
דלקת כבד B-HBV,רמת יוחנן,97%
דלקת כבד B-HBV,קלע,67%
דלקת כבד B-HBV,עמיקם,85%
דלקת כבד B-HBV,נען,89%
דלקת כבד B-HBV,ניר עציון,85%
דלקת כבד B-HBV,מעלה גמלא,92%
דלקת כבד B-HBV,כפר הנגיד,95%
דלקת כבד B-HBV,ירחיב,89%
דלקת כבד B-HBV,חרוצים,78%
דלקת כבד B-HBV,חמד,84%
דלקת כבד B-HBV,הילה,50%
דלקת כבד B-HBV,החותרים,90%
דלקת כבד B-HBV,דפנה,83%
דלקת כבד B-HBV,גינתון,85%
דלקת כבד B-HBV,גבעת יערים,92%
דלקת כבד B-HBV,בר גיורא,90%
דלקת כבד B-HBV,בית רימון,92%
דלקת כבד B-HBV,בארותיים,71%
דלקת כבד B-HBV,רמת הכובש,90%
דלקת כבד B-HBV,רביבים,88%
דלקת כבד B-HBV,קדמת צבי,71%
דלקת כבד B-HBV,עין שריד,100%
דלקת כבד B-HBV,נווה מיכאל,79%
דלקת כבד B-HBV,נאות מרדכי,90%
דלקת כבד B-HBV,מצדות יהודה,94%
דלקת כבד B-HBV,מענית,89%
דלקת כבד B-HBV,מח'ים קלנדיה,0%
דלקת כבד B-HBV,לכיש,100%
דלקת כבד B-HBV,כברי,94%
דלקת כבד B-HBV,יסודות,93%
דלקת כבד B-HBV,דליה,86%
דלקת כבד B-HBV,בית נחמיה,96%
דלקת כבד B-HBV,בית ינאי,78%
דלקת כבד B-HBV,בית אלעזרי,93%
דלקת כבד B-HBV,בורגתה,93%
דלקת כבד B-HBV,בארי,100%
דלקת כבד B-HBV,רמת השופט,93%
דלקת כבד B-HBV,רינתיה,91%
דלקת כבד B-HBV,צוריף,67%
דלקת כבד B-HBV,עמיר,100%
דלקת כבד B-HBV,עין זיוון,78%
דלקת כבד B-HBV,עין השופט,90%
דלקת כבד B-HBV,נתיב העשרה,94%
דלקת כבד B-HBV,נגבה,91%
דלקת כבד B-HBV,נבטים,91%
דלקת כבד B-HBV,נאעורה,100%
דלקת כבד B-HBV,מצובה,82%
דלקת כבד B-HBV,מעונה,91%
דלקת כבד B-HBV,מירב,89%
דלקת כבד B-HBV,מבוא מודיעים,31%
דלקת כבד B-HBV,יובלים,82%
דלקת כבד B-HBV,חניתה,86%
דלקת כבד B-HBV,בית חורון,89%
דלקת כבד B-HBV,בית הגדי,91%
דלקת כבד B-HBV,אלישיב,67%
דלקת כבד B-HBV,אילון,86%
דלקת כבד B-HBV,תנובות,96%
דלקת כבד B-HBV,"תלמי ביל""ו",95%
דלקת כבד B-HBV,שדה אילן,87%
דלקת כבד B-HBV,שבי דרום,92%
דלקת כבד B-HBV,רימונים,96%
דלקת כבד B-HBV,צפרירים,56%
דלקת כבד B-HBV,צלפון,93%
דלקת כבד B-HBV,פלמחים,91%
דלקת כבד B-HBV,עראמשה,100%
דלקת כבד B-HBV,עמקה,85%
דלקת כבד B-HBV,עין החורש,100%
דלקת כבד B-HBV,כמאנה,100%
דלקת כבד B-HBV,הר גילה,89%
דלקת כבד B-HBV,בית שקמה,100%
דלקת כבד B-HBV,תימורים,96%
דלקת כבד B-HBV,עלמון,100%
דלקת כבד B-HBV,סמר,50%
דלקת כבד B-HBV,ניצני עוז,93%
דלקת כבד B-HBV,משאבי שדה,100%
דלקת כבד B-HBV,מסילת ציון,86%
דלקת כבד B-HBV,מזור,88%
דלקת כבד B-HBV,כפר ראש הנקרה,87%
דלקת כבד B-HBV,כפר חנניה,96%
דלקת כבד B-HBV,יד מרדכי,93%
דלקת כבד B-HBV,יד השמונה,80%
דלקת כבד B-HBV,גשר הזיו,100%
דלקת כבד B-HBV,בקוע,87%
דלקת כבד B-HBV,איתן,95%
דלקת כבד B-HBV,אחיטוב,87%
דלקת כבד B-HBV,אומץ,93%
דלקת כבד B-HBV,אדורה,96%
דלקת כבד B-HBV,שריד,100%
דלקת כבד B-HBV,עטרת,83%
דלקת כבד B-HBV,ניצן ב',82%
דלקת כבד B-HBV,נחשולים,91%
דלקת כבד B-HBV,משמר השבעה,88%
דלקת כבד B-HBV,מרחביה (מושב),85%
דלקת כבד B-HBV,מדרך עוז,88%
דלקת כבד B-HBV,כרמי קטיף,91%
דלקת כבד B-HBV,כרכום,79%
דלקת כבד B-HBV,כפר קיש,94%
דלקת כבד B-HBV,כפר גלעדי,40%
דלקת כבד B-HBV,טל-אל,93%
דלקת כבד B-HBV,חוסן,97%
דלקת כבד B-HBV,גיניגר,86%
דלקת כבד B-HBV,"גבעת כ""ח",93%
דלקת כבד B-HBV,גאליה,88%
דלקת כבד B-HBV,בני נעים,83%
דלקת כבד B-HBV,בית עזרא,95%
דלקת כבד B-HBV,אליאב,91%
דלקת כבד B-HBV,תרום,83%
דלקת כבד B-HBV,שוקדה,94%
דלקת כבד B-HBV,שובל,95%
דלקת כבד B-HBV,רומאנה,98%
דלקת כבד B-HBV,קראות בני חסן,100%
דלקת כבד B-HBV,קוואעין (שבט),98%
דלקת כבד B-HBV,עין עירון,77%
דלקת כבד B-HBV,נהורה,96%
דלקת כבד B-HBV,משמרת,87%
דלקת כבד B-HBV,משמר הירדן,84%
דלקת כבד B-HBV,מצליח,100%
דלקת כבד B-HBV,מסלול,88%
דלקת כבד B-HBV,מזרע,94%
דלקת כבד B-HBV,לימן,85%
דלקת כבד B-HBV,כפר נטר,100%
דלקת כבד B-HBV,כפר יהושע,100%
דלקת כבד B-HBV,יד חנה,94%
דלקת כבד B-HBV,חצרים,92%
דלקת כבד B-HBV,חגור,93%
דלקת כבד B-HBV,הוואשלה (שבט),99%
דלקת כבד B-HBV,דן,89%
דלקת כבד B-HBV,אמונים,96%
דלקת כבד B-HBV,שדה יעקב,94%
דלקת כבד B-HBV,צופית,90%
דלקת כבד B-HBV,"פעמי תש""ז",89%
דלקת כבד B-HBV,עלמה,95%
דלקת כבד B-HBV,סנסנה,93%
דלקת כבד B-HBV,נצר סרני,100%
דלקת כבד B-HBV,מגדים,81%
דלקת כבד B-HBV,כפר מסריק,100%
דלקת כבד B-HBV,כפר החורש,100%
דלקת כבד B-HBV,כפר האורנים,100%
דלקת כבד B-HBV,יזרעאל,94%
דלקת כבד B-HBV,חרב לאת,92%
דלקת כבד B-HBV,הודייה,96%
דלקת כבד B-HBV,גינוסר,82%
דלקת כבד B-HBV,גבעתי,94%
דלקת כבד B-HBV,בית העמק,94%
דלקת כבד B-HBV,אודם,60%
דלקת כבד B-HBV,תלמים,100%
דלקת כבד B-HBV,רתמים,92%
דלקת כבד B-HBV,צרעה,91%
דלקת כבד B-HBV,צוחר,80%
דלקת כבד B-HBV,פוריה - כפר עבודה,95%
דלקת כבד B-HBV,עצמון שגב,100%
דלקת כבד B-HBV,עין קנייא,98%
דלקת כבד B-HBV,עין צורים,97%
דלקת כבד B-HBV,סתריה,96%
דלקת כבד B-HBV,ניר צבי,92%
דלקת כבד B-HBV,נטף,77%
דלקת כבד B-HBV,משמרות,100%
דלקת כבד B-HBV,מעברות,83%
דלקת כבד B-HBV,כפר יעבץ,84%
דלקת כבד B-HBV,כפר בן נון,95%
דלקת כבד B-HBV,"כפר ביל""ו",96%
דלקת כבד B-HBV,כחל,80%
דלקת כבד B-HBV,יציץ,93%
דלקת כבד B-HBV,יד נתן,100%
דלקת כבד B-HBV,הסוללים,100%
דלקת כבד B-HBV,היוגב,91%
דלקת כבד B-HBV,גני יוחנן,86%
דלקת כבד B-HBV,גנות הדר,84%
דלקת כבד B-HBV,גבת,95%
דלקת כבד B-HBV,בית לחם הגלילית,95%
דלקת כבד B-HBV,בית אמר,100%
דלקת כבד B-HBV,ביצרון,86%
דלקת כבד B-HBV,באר טוביה,100%
דלקת כבד B-HBV,אחיסמך,92%
דלקת כבד B-HBV,אורות,93%
דלקת כבד B-HBV,תלם,83%
דלקת כבד B-HBV,שעל,86%
דלקת כבד B-HBV,שכניה,81%
דלקת כבד B-HBV,שורש,100%
דלקת כבד B-HBV,ריחאניה,94%
דלקת כבד B-HBV,קוממיות,90%
דלקת כבד B-HBV,עשרת,90%
דלקת כבד B-HBV,עין כרמל,100%
דלקת כבד B-HBV,עזריה,100%
דלקת כבד B-HBV,משמר איילון,93%
דלקת כבד B-HBV,מעין ברוך,83%
דלקת כבד B-HBV,מגל,100%
דלקת כבד B-HBV,מבקיעים,97%
דלקת כבד B-HBV,מבוא חמה,83%
דלקת כבד B-HBV,לבנים,82%
דלקת כבד B-HBV,כפר שמואל,95%
דלקת כבד B-HBV,כפר עזה,91%
דלקת כבד B-HBV,כפר חיים,89%
דלקת כבד B-HBV,כפר גדעון,92%
דלקת כבד B-HBV,חפץ חיים,97%
דלקת כבד B-HBV,חדיד,97%
דלקת כבד B-HBV,זיתן,97%
דלקת כבד B-HBV,הדר עם,88%
דלקת כבד B-HBV,גברעם,86%
דלקת כבד B-HBV,בני עטרות,95%
דלקת כבד B-HBV,בית גמליאל,86%
דלקת כבד B-HBV,בטחה,91%
דלקת כבד B-HBV,אלונים,96%
דלקת כבד B-HBV,אלוני הבשן,74%
דלקת כבד B-HBV,אבטליון,71%
דלקת כבד B-HBV,תושיה,91%
דלקת כבד B-HBV,שדמה,50%
דלקת כבד B-HBV,שדה יצחק,95%
דלקת כבד B-HBV,פקיעין חדשה,83%
דלקת כבד B-HBV,עבדון,94%
דלקת כבד B-HBV,ניר גלים,94%
דלקת כבד B-HBV,נווה אילן,100%
דלקת כבד B-HBV,להב,94%
דלקת כבד B-HBV,כרמל,88%
דלקת כבד B-HBV,יעד,100%
דלקת כבד B-HBV,חפצי-בה,100%
דלקת כבד B-HBV,חוסנייה,96%
דלקת כבד B-HBV,זבדיאל,90%
דלקת כבד B-HBV,הר עמשא,54%
דלקת כבד B-HBV,גני הדר,75%
דלקת כבד B-HBV,גזית,82%
דלקת כבד B-HBV,בן זכאי,89%
דלקת כבד B-HBV,בית עריף,89%
דלקת כבד B-HBV,אבן ספיר,96%
דלקת כבד B-HBV,תל עדשים,96%
דלקת כבד B-HBV,שמשית,96%
דלקת כבד B-HBV,רמת צבי,82%
דלקת כבד B-HBV,עמיחי,65%
דלקת כבד B-HBV,ניר עם,93%
דלקת כבד B-HBV,נווה זיו,92%
דלקת כבד B-HBV,משען,100%
דלקת כבד B-HBV,משואה,96%
דלקת כבד B-HBV,"מצפה אבי""ב",100%
דלקת כבד B-HBV,מעין צבי,100%
דלקת כבד B-HBV,כפר מרדכי,88%
דלקת כבד B-HBV,כסלון,88%
דלקת כבד B-HBV,כוכב מיכאל,100%
דלקת כבד B-HBV,יפעת,100%
דלקת כבד B-HBV,חולדה,94%
דלקת כבד B-HBV,זרחיה,97%
דלקת כבד B-HBV,זרועה,78%
דלקת כבד B-HBV,גבעת ישעיהו,86%
דלקת כבד B-HBV,בת חן,89%
דלקת כבד B-HBV,בית אולה,33%
דלקת כבד B-HBV,אשלים,94%
דלקת כבד B-HBV,ארסוף,40%
דלקת כבד B-HBV,שריגים (לי-און),82%
דלקת כבד B-HBV,שפיר,96%
דלקת כבד B-HBV,שני,86%
דלקת כבד B-HBV,שואבה,90%
דלקת כבד B-HBV,רמות,85%
דלקת כבד B-HBV,עין חרוד (מאוחד),87%
דלקת כבד B-HBV,עין גב,75%
דלקת כבד B-HBV,נחלה,94%
דלקת כבד B-HBV,נאות סמדר,30%
דלקת כבד B-HBV,מחנה תל נוף,100%
דלקת כבד B-HBV,כפר חיטים,93%
דלקת כבד B-HBV,יטבתה,100%
דלקת כבד B-HBV,חמאם,98%
דלקת כבד B-HBV,זכריה,97%
דלקת כבד B-HBV,גילון,91%
דלקת כבד B-HBV,גונן,100%
דלקת כבד B-HBV,גבעת יואב,94%
דלקת כבד B-HBV,גבעת חיים (מאוחד),85%
דלקת כבד B-HBV,בניה,86%
דלקת כבד B-HBV,בית חנניה,96%
דלקת כבד B-HBV,בארות יצחק,94%
דלקת כבד B-HBV,אשכולות,63%
דלקת כבד B-HBV,אלמגור,75%
דלקת כבד B-HBV,אומן,94%
דלקת כבד B-HBV,אדרת,96%
דלקת כבד B-HBV,אבנת,79%
דלקת כבד B-HBV,תקומה,93%
דלקת כבד B-HBV,תובל,100%
דלקת כבד B-HBV,שער העמקים,100%
דלקת כבד B-HBV,שלוחות,92%
דלקת כבד B-HBV,רקפת,82%
דלקת כבד B-HBV,רוויה,100%
דלקת כבד B-HBV,קרית נטפים,100%
דלקת כבד B-HBV,"עין הנצי""ב",80%
דלקת כבד B-HBV,עזריאל,91%
דלקת כבד B-HBV,משמר דוד,80%
דלקת כבד B-HBV,כפר מימון,98%
דלקת כבד B-HBV,ינוב,73%
דלקת כבד B-HBV,יחיעם,80%
דלקת כבד B-HBV,חבצלת השרון,78%
דלקת כבד B-HBV,העוגן,90%
דלקת כבד B-HBV,אל-רום,85%
דלקת כבד B-HBV,אירוס,96%
דלקת כבד B-HBV,אביעזר,95%
דלקת כבד B-HBV,תל תאומים,97%
דלקת כבד B-HBV,שרשרת,100%
דלקת כבד B-HBV,שדמות דבורה,100%
דלקת כבד B-HBV,שדה צבי,89%
דלקת כבד B-HBV,צורית,95%
דלקת כבד B-HBV,ניצני סיני,69%
דלקת כבד B-HBV,מכמנים,87%
דלקת כבד B-HBV,כפר ורבורג,94%
דלקת כבד B-HBV,"כפר הרי""ף",94%
דלקת כבד B-HBV,יקום,80%
דלקת כבד B-HBV,חצור-אשדוד,100%
דלקת כבד B-HBV,חלוץ,100%
דלקת כבד B-HBV,ח'רבתא אל-מצבאח,50%
דלקת כבד B-HBV,האון,44%
דלקת כבד B-HBV,דבירה,100%
דלקת כבד B-HBV,"גבעת ח""ן",100%
דלקת כבד B-HBV,גבעות בר,100%
דלקת כבד B-HBV,בני דרור,100%
דלקת כבד B-HBV,אורים,90%
דלקת כבד B-HBV,אום אל-קוטוף,100%
דלקת כבד B-HBV,אדמית,92%
